"Date Time","Open","High","Low","Close","Change","Volume","Open Interest","MACD","MACD-Signal","MACD-Histogram"
1974-12-01,191,191.5,182.7,183.9,0,1215,711,,,
1975-01-01,184,184.8,167.5,175.5,-8.400000000000006,1329,2763,,,
1975-02-01,176.9,189,172.1,183,7.5,1211,4341,,,
1975-03-01,183.3,187.5,175,177.1,-5.900000000000006,1147,5278,,,
1975-04-01,177,177.3,162,166.8,-10.299999999999983,993,5835,,,
1975-05-01,167,176.9,163.4,166.5,-0.30000000000001137,1006,7025,,,
1975-06-01,161.5,175,160,167.8,1.3000000000000114,984,7586,,,
1975-07-01,168.3,170.8,161.4,167.6,-0.20000000000001705,1717,12362,,,
1975-08-01,167.6,168.3,158.5,160.2,-7.400000000000006,914,14985,,,
1975-09-01,150.2,153.9,127.4,140.5,-19.69999999999999,1915,12928,,,
1975-10-01,143.9,146.6,137.9,142.8,2.3000000000000114,1232,11221,,,
1975-11-01,143.5,149.1,136.8,137.3,-5.5,2804,16764,,,
1975-12-01,137.4,147.9,136,141,3.6999999999999886,2241,29640,,,
1976-01-01,140.8,141.5,123.4,128.2,-12.800000000000011,2126,28417,,,
1976-02-01,129.7,134.7,128,132.6,4.400000000000006,1419,26066,,,
1976-03-01,132.5,135.3,127.3,129.1,-3.5,1361,27370,,,
1976-04-01,129,130.9,126.5,128.9,-0.19999999999998863,866,26052,,,
1976-05-01,128.5,129.8,124.1,126,-2.9000000000000057,1919,20686,,,
1976-06-01,126.1,129.9,123.5,123.9,-2.0999999999999943,1474,14293,,,
1976-07-01,123.6,124.5,105,112.1,-11.800000000000011,1230,11327,,,
1976-08-01,111.2,114,99.7,102.8,-9.299999999999997,1014,10098,,,
1976-09-01,103.4,120.3,103.4,115.7,12.900000000000006,1783,12318,,,
1976-10-01,115,126,113,123.8,8.099999999999994,1388,15066,,,
1976-11-01,122.8,141,122.8,131.5,7.700000000000003,4255,19049,,,
1976-12-01,130.9,138.7,130.5,135.7,4.199999999999989,4780,30983,,,
1977-01-01,135.5,137.7,127.5,133,-2.6999999999999886,3369,22542,-18.996794871794847,,
1977-02-01,133,145.4,132.2,144.6,11.599999999999994,2215,19563,-16.48525641025641,,
1977-03-01,142.7,155,142.4,149.5,4.900000000000006,3845,24681,-13.785256410256423,,
1977-04-01,149,153.7,144.8,148,-1.5,2845,22833,-10.8474358974359,,
1977-05-01,147.9,149.7,142,143.5,-4.5,2348,20928,-8.096794871794856,,
1977-06-01,144,144.6,137,143.6,0.09999999999999432,2332,19385,-5.562820512820508,,
1977-07-01,143.5,147.4,140.5,145.1,1.5,2573,20507,-1.9897435897435685,,
1977-08-01,145.4,148.1,142.8,146.7,1.5999999999999943,1979,19292,2.4801282051282385,,
1977-09-01,146.3,155,145.9,154.6,7.900000000000006,2948,24391,6.221794871794856,-7.451353276353269,13.673148148148126
1977-10-01,155.9,166.8,153.8,162.7,8.099999999999994,6769,34536,9.36730769230769,-4.299786324786321,13.667094017094012
1977-11-01,163.8,169.9,154.7,160.2,-2.5,8802,47994,11.00128205128209,-1.2457264957264869,12.247008547008576
1977-12-01,160.6,167.9,155.4,167.5,7.300000000000011,6916,50791,12.701282051282078,1.6972222222222355,11.004059829059843
